CHAVEGERAL,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,CODREGIAO5,REGIAO5,CODREGIAO8,REGIAO8,TB_SUBSETOR,SUBSETOR,TB_SETOR,SETOR,ESTAB,EMPREGO,HOMEM,MULHER,BRANCA,PARDA,PRETA,AMARELA,INDÍGENA,RACANI,RACA_IGN,ANALF,EF1A5INCOMP,EF5COM,EF6A9INCOMP,EFCOM,EMINCOM,EMCOMP,ESINCOM,ESCOMP,MESTRADO,DOUTORADO,ATE17,18A24,25A29,30A39,40A49,50A64,65OUMAIS,"ATE0,50SM","0,51A1,00SM","1,01A1,50SM","1,51A2,00SM","2,01A3,00SM","3,01A4,00SM","4,01A5,01SM","5,00A7,00SM","7,01A10,00SM","10,01A15,00SM","15,01A20,00SM",MAISDE20SM,RENDAIG,CBO_GG_1,CBO_GG_2,CBO_GG_3,CBO_GG_4,CBO_GG_5,CBO_GG_6,CBO_GG_7,CBO_GG_8,CBO_GG_9,CBO_GG_IGN
3.55E+20,3.55E+12,6,BARRA FUNDA,8,LAPA,4,Oeste,6,OESTE,22,MED ODON VET,6,SERVICOS,93,"1,794",594,"1,200","1,135",473,135,39,0,12,0,1,2,4,11,29,52,790,69,803,24,9,10,177,295,683,327,273,29,0,19,222,358,298,228,137,170,118,99,52,72,21,54,658,241,554,112,0,168,0,7,0
3.55E+20,3.55E+12,6,BARRA FUNDA,8,LAPA,4,Oeste,6,OESTE,23,ENSINO,6,SERVICOS,52,"3,777","1,661","2,116","2,875",515,184,31,0,83,89,0,21,17,31,88,87,745,322,"2,163",215,88,47,321,433,"1,124",954,810,88,8,123,389,429,701,320,235,381,368,465,141,147,70,56,"2,165",432,731,357,2,17,8,9,0
3.55E+20,3.55E+12,6,BARRA FUNDA,8,LAPA,4,Oeste,6,OESTE,25,AGRICULTURA,8,AGROPECUARIA,1,3,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,2,MIN NAO MET,2,IND TRANSF,2,26,17,9,22,2,0,0,0,2,0,0,1,0,1,2,4,13,2,3,0,0,0,3,0,8,8,7,0,0,0,2,7,3,6,1,4,1,1,0,0,1,3,1,0,9,6,0,5,2,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,3,IND METALURG,2,IND TRANSF,21,226,200,26,160,48,9,0,0,9,0,0,1,6,13,38,16,118,8,25,1,0,0,17,26,72,66,41,4,0,0,15,46,65,41,33,16,4,1,1,0,4,7,13,42,37,6,0,107,10,4,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,4,IND MECANICA,2,IND TRANSF,21,268,226,42,194,49,22,2,0,1,0,0,2,5,7,12,8,172,13,49,0,0,0,42,42,86,42,51,5,0,3,25,61,79,34,22,27,12,2,0,1,2,11,16,51,35,11,0,119,2,23,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,5,ELET E COMUN,2,IND TRANSF,8,205,138,67,90,103,12,0,0,0,0,0,2,0,4,15,0,139,10,34,1,0,0,30,48,78,36,12,1,0,1,13,77,68,15,14,11,2,1,0,0,3,5,13,33,40,10,0,103,1,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,6,MAT TRANSP,2,IND TRANSF,3,32,24,8,10,18,1,0,0,3,0,0,1,0,0,0,0,23,4,4,0,0,0,12,3,13,4,0,0,0,0,8,11,6,5,1,0,0,0,0,0,1,2,0,4,3,4,0,16,2,1,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,7,MAD E MOBIL,2,IND TRANSF,5,70,55,15,28,38,1,0,0,3,0,0,0,0,0,1,3,65,0,0,1,0,1,17,14,19,11,8,0,0,0,17,30,7,5,7,1,1,0,0,0,2,3,4,2,5,2,0,53,1,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,8,PAPEL E GRAF,2,IND TRANSF,25,"1,391","1,059",332,"1,039",253,78,15,2,4,0,0,21,31,31,73,67,680,115,372,0,1,0,86,153,404,459,246,43,0,1,30,90,200,189,185,225,158,113,26,19,155,78,216,165,188,21,0,686,30,7,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,9,BOR FUM COUR,2,IND TRANSF,27,305,164,141,221,51,26,1,0,6,0,0,1,3,11,25,21,197,14,32,1,0,7,48,72,95,51,29,3,0,8,66,90,63,32,13,12,13,6,1,1,0,14,20,61,50,20,0,118,19,3,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,10,IND QUIMICA,2,IND TRANSF,19,261,182,79,188,41,28,1,0,3,0,0,2,15,13,24,19,154,13,21,0,0,0,30,40,86,60,44,1,0,1,24,135,58,19,9,9,3,1,0,0,2,11,3,17,39,30,0,112,48,1,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,11,IND TEXTIL,2,IND TRANSF,36,317,121,196,214,66,27,2,0,8,0,1,2,4,8,59,44,170,8,21,0,0,0,43,32,72,77,86,7,0,4,137,99,44,19,7,1,0,0,0,0,6,13,5,8,35,23,0,230,1,2,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,13,ALIM E BEB,2,IND TRANSF,22,346,174,172,193,105,42,1,0,5,0,0,2,24,16,51,45,188,6,14,0,0,0,69,67,92,76,42,0,0,8,89,157,63,10,11,2,1,0,0,0,5,6,3,7,43,200,0,47,40,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,14,SER UTIL PUB,3,SERV IND UP,3,188,125,63,143,22,4,9,0,10,0,0,0,0,1,0,5,29,9,70,67,7,1,4,8,28,75,71,1,1,1,8,6,4,6,8,24,41,44,14,30,1,1,126,6,31,1,0,22,0,1,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,15,CONSTR CIVIL,4,CONSTR CIVIL,56,983,912,71,403,462,83,16,0,19,0,3,127,66,117,164,126,314,17,49,0,0,0,121,138,316,250,141,17,0,8,74,306,294,123,88,45,20,6,0,1,18,15,19,45,87,40,7,733,0,37,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,16,COM VAREJ,5,COMERCIO,430,"3,697","2,328","1,369","2,252","1,060",203,27,3,152,0,5,23,54,119,398,346,"2,246",174,324,3,5,25,707,643,"1,083",704,497,38,2,95,892,"1,146",741,334,159,151,83,26,11,10,47,185,142,274,847,"1,425",14,505,81,204,20
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,17,COM ATACAD,5,COMERCIO,109,"1,499",847,652,937,370,98,12,2,80,0,0,7,7,39,87,97,851,110,297,3,1,10,235,274,483,304,182,11,0,14,264,445,355,147,61,75,52,37,23,11,15,116,84,156,503,414,0,187,12,27,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,18,INST FINANC,6,SERVICOS,39,333,125,208,266,52,6,6,0,3,0,0,0,0,1,4,11,102,40,174,1,0,1,44,62,108,70,43,5,0,3,60,22,36,56,48,49,28,17,6,3,5,30,41,47,198,17,0,0,0,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,19,ADM TEC PROF,6,SERVICOS,300,"4,166","2,801","1,365","2,269","1,207",225,26,1,438,0,6,34,62,132,367,203,"2,362",289,666,45,0,5,472,632,"1,423","1,016",595,23,6,15,550,"1,066",881,439,223,500,230,59,43,55,99,200,325,698,"1,180","1,338",4,374,8,36,3
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,20,TRAN E COMUN,6,SERVICOS,83,"1,252","1,010",242,657,425,96,7,1,66,0,2,23,44,102,175,101,654,40,110,1,0,7,158,159,417,295,206,10,2,10,177,450,366,114,42,38,13,6,7,1,26,30,26,112,339,290,0,402,0,53,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,21,ALOJ COMUNIC,6,SERVICOS,163,"1,834",882,952,892,678,131,27,2,104,0,9,68,36,98,324,298,770,50,179,2,0,35,402,276,503,359,246,13,1,101,752,495,263,112,18,21,11,4,1,3,52,90,132,103,219,"1,155",5,78,15,37,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,22,MED ODON VET,6,SERVICOS,34,159,77,82,86,50,9,0,0,14,0,0,0,1,3,6,1,119,7,19,3,0,0,13,13,60,41,29,3,0,0,60,47,35,7,5,3,1,0,0,0,1,5,19,20,34,74,0,6,1,0,0
3.55E+20,3.55E+12,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,3,Norte,5,NORTE 2,23,ENSINO,6,SERVICOS,32,743,251,492,519,72,38,8,1,105,0,0,7,6,11,16,23,163,45,376,80,16,5,60,64,251,216,130,17,10,48,183,125,183,88,34,37,16,5,0,2,12,10,409,133,110,78,0,3,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,2,MIN NAO MET,2,IND TRANSF,3,75,73,2,39,15,16,2,0,3,0,0,2,0,10,7,11,39,2,4,0,0,0,7,10,21,22,14,1,0,0,1,24,17,16,6,8,1,0,0,0,2,6,0,4,4,14,0,39,8,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,3,IND METALURG,2,IND TRANSF,15,223,179,44,157,51,12,2,0,1,0,0,5,8,5,16,24,109,19,37,0,0,2,19,28,66,53,50,5,0,2,18,31,56,38,23,22,13,5,4,5,6,12,11,25,33,35,0,88,16,2,1
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,4,IND MECANICA,2,IND TRANSF,17,191,165,26,149,31,10,0,0,1,0,0,6,8,11,12,9,117,5,23,0,0,1,8,17,46,52,60,7,0,0,9,26,33,34,37,27,8,6,3,2,6,9,2,17,25,14,0,76,1,47,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,5,ELET E COMUN,2,IND TRANSF,4,23,16,7,14,2,4,0,0,3,0,0,0,0,0,4,2,16,1,0,0,0,0,5,4,9,2,3,0,0,0,12,9,1,0,0,1,0,0,0,0,0,1,0,1,9,3,0,8,0,1,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,6,MAT TRANSP,2,IND TRANSF,4,36,23,13,36,0,0,0,0,0,0,1,0,0,3,6,14,11,0,1,0,0,0,4,0,15,14,3,0,0,0,0,23,5,2,5,0,0,0,0,0,1,1,0,1,2,1,0,30,0,1,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,7,MAD E MOBIL,2,IND TRANSF,10,50,39,11,34,9,5,0,1,1,0,0,0,3,2,3,5,31,3,3,0,0,0,1,9,16,11,13,0,0,0,10,14,21,3,0,0,0,0,0,0,2,5,1,5,6,8,0,18,7,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,8,PAPEL E GRAF,2,IND TRANSF,18,264,169,95,174,48,13,0,1,28,0,0,2,8,8,31,24,139,10,42,0,0,2,26,39,98,57,39,3,2,0,9,109,61,26,29,15,6,3,2,1,1,11,22,24,60,18,0,107,21,1,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,9,BOR FUM COUR,2,IND TRANSF,7,59,36,23,42,14,2,0,0,1,0,0,0,4,0,2,5,39,1,8,0,0,1,6,13,15,11,12,1,0,0,17,13,20,4,1,4,0,0,0,0,0,2,2,14,6,5,0,27,1,2,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,10,IND QUIMICA,2,IND TRANSF,15,290,144,146,214,50,24,2,0,0,0,0,11,25,32,18,28,140,10,26,0,0,7,17,27,108,67,58,6,0,7,20,123,78,23,8,5,9,4,1,2,10,14,7,7,37,15,15,54,138,3,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,11,IND TEXTIL,2,IND TRANSF,29,598,202,396,393,136,61,1,5,2,0,0,1,5,35,231,46,253,8,19,0,0,8,67,76,117,171,145,14,8,1,178,236,98,31,17,10,5,1,0,0,13,18,4,32,60,41,1,434,1,7,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,12,IND CALCADOS,2,IND TRANSF,1,8,6,2,7,0,1,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,3,2,1,1,1,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,13,ALIM E BEB,2,IND TRANSF,28,307,110,197,229,62,14,1,1,0,0,3,31,22,29,57,22,129,7,7,0,0,0,25,28,74,93,84,3,0,1,56,92,62,13,2,3,2,0,0,0,76,7,3,5,45,143,0,91,11,2,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,14,SER UTIL PUB,3,SERV IND UP,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,15,CONSTR CIVIL,4,CONSTR CIVIL,47,"1,865","1,695",170,781,952,95,5,9,23,0,7,228,91,108,278,110,821,39,179,3,1,0,219,301,630,395,301,19,17,6,81,280,580,373,186,110,62,46,18,22,84,46,107,116,226,120,5,"1,028",37,180,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,16,COM VAREJ,5,COMERCIO,727,"10,174","5,187","4,987","6,482","2,516",414,52,16,694,0,3,48,86,178,837,729,"6,322",608,"1,347",13,3,139,"2,118","1,860","3,122","1,750","1,106",79,9,262,"1,639","2,810","2,341","1,133",572,525,288,224,79,142,150,960,364,600,"2,583","4,442",16,747,174,286,2
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,17,COM ATACAD,5,COMERCIO,121,"2,383","1,578",805,"1,525",564,189,13,16,76,0,0,25,26,72,246,183,"1,445",111,273,2,0,33,341,374,818,521,273,23,4,41,346,784,529,280,136,115,44,48,15,9,32,134,61,145,739,861,2,362,61,18,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,18,INST FINANC,6,SERVICOS,27,272,93,179,224,31,8,6,0,3,0,0,0,0,0,2,3,29,38,199,1,0,0,31,64,92,53,32,0,0,2,10,8,14,58,47,46,37,25,10,4,11,53,64,20,132,0,0,3,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,19,ADM TEC PROF,6,SERVICOS,185,"9,717","6,416","3,301","3,941","5,120",550,20,13,73,0,10,40,89,312,870,297,"6,760",524,811,3,1,12,793,"1,416","3,653","2,546","1,256",41,4,201,"1,867","1,863","4,349",350,372,310,95,60,23,29,194,133,357,279,"1,819","6,802",0,265,16,46,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,20,TRAN E COMUN,6,SERVICOS,193,"5,899","4,831","1,068","3,433","1,669",342,39,6,410,0,27,87,174,445,905,549,"2,972",224,512,4,0,52,682,816,"1,857","1,418",993,81,48,93,920,"1,400","1,781",812,329,251,78,33,8,4,142,170,170,368,"1,693",851,1,"2,515",3,128,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,21,ALOJ COMUNIC,6,SERVICOS,249,"4,618","2,272","2,346","1,980","1,184",299,18,7,"1,033",97,3,37,68,217,"1,126",584,"2,117",96,366,4,0,104,"1,267",660,"1,190",820,550,27,11,389,"1,982","1,101",618,203,88,76,36,23,6,4,81,250,178,211,"1,362","2,388",3,137,73,15,1
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,22,MED ODON VET,6,SERVICOS,25,66,2,64,44,16,4,0,0,2,0,0,1,0,1,2,3,45,1,13,0,0,0,8,9,19,16,13,1,0,1,40,9,12,2,2,0,0,0,0,0,0,4,10,13,28,11,0,0,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,23,ENSINO,6,SERVICOS,20,758,204,554,464,240,31,7,1,15,0,0,9,4,11,18,19,252,23,334,62,26,5,72,117,234,189,132,9,6,29,193,116,260,50,37,26,15,14,2,1,9,10,375,125,108,130,0,8,0,2,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,25,AGRICULTURA,8,AGROPECUARIA,3,82,51,31,29,37,16,0,0,0,0,0,0,1,3,8,13,51,3,3,0,0,0,12,13,28,16,13,0,0,0,26,47,9,0,0,0,0,0,0,0,0,0,1,1,14,57,1,3,0,5,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,2,MIN NAO MET,2,IND TRANSF,1,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,3,IND METALURG,2,IND TRANSF,4,12,8,4,11,1,0,0,0,0,0,0,1,1,0,1,0,8,0,1,0,0,0,0,1,1,2,7,1,0,0,5,0,4,2,0,1,0,0,0,0,0,0,0,0,1,3,0,8,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,4,IND MECANICA,2,IND TRANSF,10,41,30,11,30,8,1,1,0,1,0,0,1,1,1,8,8,17,3,2,0,0,1,3,4,7,14,12,0,0,0,9,11,10,4,1,2,0,0,0,0,4,1,0,6,7,4,0,22,1,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,5,ELET E COMUN,2,IND TRANSF,2,41,12,29,16,20,5,0,0,0,0,0,0,0,1,1,0,39,0,0,0,0,0,4,9,15,10,3,0,0,0,3,31,6,0,0,0,0,0,0,0,1,0,0,4,4,1,0,27,5,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,7,MAD E MOBIL,2,IND TRANSF,2,17,17,0,6,10,1,0,0,0,0,0,0,0,0,1,3,13,0,0,0,0,0,2,1,3,3,6,2,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,1,3,0,13,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,8,PAPEL E GRAF,2,IND TRANSF,7,51,39,12,18,9,2,0,0,22,0,0,0,0,1,1,4,33,4,8,0,0,0,8,12,12,14,5,0,0,0,6,12,24,5,3,0,0,0,0,0,1,5,0,14,13,0,0,18,1,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,9,BOR FUM COUR,2,IND TRANSF,5,32,24,8,18,13,1,0,0,0,0,0,0,1,0,4,12,13,1,1,0,0,0,3,7,8,10,4,0,0,0,3,8,14,4,1,1,0,0,0,0,1,3,0,7,4,1,0,16,0,1,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,10,IND QUIMICA,2,IND TRANSF,3,464,321,143,382,70,9,3,0,0,0,0,16,23,25,54,21,173,28,124,0,0,1,30,40,174,129,76,14,1,0,7,14,129,95,52,52,41,27,10,19,17,46,59,34,85,57,6,144,23,10,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,11,IND TEXTIL,2,IND TRANSF,12,65,18,47,51,7,4,2,0,1,0,0,1,7,7,23,8,19,0,0,0,0,0,4,6,10,16,24,5,0,1,15,32,12,0,0,0,0,0,0,0,5,0,0,4,0,7,0,54,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,13,ALIM E BEB,2,IND TRANSF,12,237,162,75,144,65,28,0,0,0,0,1,7,27,18,41,28,102,3,10,0,0,0,40,28,76,55,36,2,0,14,41,69,71,21,7,7,2,0,0,0,5,3,1,10,28,67,0,66,58,4,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,15,CONSTR CIVIL,4,CONSTR CIVIL,20,"1,692","1,585",107,623,893,158,11,3,4,0,5,155,58,61,159,116,"1,052",24,60,0,2,7,249,252,445,387,318,34,2,29,533,567,290,109,52,45,21,3,0,0,41,10,39,105,81,20,83,477,2,875,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,16,COM VAREJ,5,COMERCIO,182,"1,046",617,429,598,291,51,5,0,101,0,2,10,16,24,110,94,643,46,100,1,0,8,204,174,321,189,134,16,0,30,259,302,262,90,31,42,10,1,0,1,18,81,52,60,250,356,0,151,34,62,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,17,COM ATACAD,5,COMERCIO,21,112,55,57,81,21,5,1,0,4,0,0,0,0,0,9,7,71,14,11,0,0,1,23,19,38,16,15,0,0,1,45,35,21,6,3,1,0,0,0,0,0,6,2,19,25,21,0,35,1,3,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,18,INST FINANC,6,SERVICOS,11,39,13,26,32,3,0,0,0,4,0,0,0,0,0,2,2,17,4,14,0,0,1,4,5,16,11,2,0,0,0,14,3,3,1,5,6,3,1,2,1,0,4,0,12,22,1,0,0,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,19,ADM TEC PROF,6,SERVICOS,112,"3,052","1,665","1,387",635,"2,179",47,4,3,184,0,6,14,20,47,83,70,"2,461",137,211,3,0,3,503,755,"1,167",452,163,9,1,28,"1,713",516,454,179,46,31,31,5,4,6,38,58,118,175,480,"2,146",0,64,6,3,2
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,20,TRAN E COMUN,6,SERVICOS,24,219,188,31,167,18,26,1,0,7,0,0,2,7,16,27,26,121,10,8,2,0,0,45,34,62,43,33,2,0,4,91,74,41,0,0,5,0,0,0,0,4,2,1,8,26,96,0,83,0,3,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,21,ALOJ COMUNIC,6,SERVICOS,74,584,346,238,377,97,30,2,0,78,0,2,3,10,15,88,25,384,13,43,1,0,0,107,97,178,112,82,8,0,11,233,224,77,23,4,9,1,0,0,0,2,36,22,50,74,370,0,23,6,3,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,22,MED ODON VET,6,SERVICOS,13,57,15,42,46,4,3,0,0,4,0,0,1,1,1,3,5,25,5,16,0,0,0,11,15,16,8,7,0,0,0,19,10,9,14,5,0,0,0,0,0,0,0,13,7,24,4,0,9,0,0,0
3.55E+20,3.55E+12,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,23,ENSINO,6,SERVICOS,14,198,34,164,152,31,5,2,0,8,0,0,2,4,8,8,12,65,13,85,1,0,0,14,30,70,48,34,2,5,8,59,26,68,22,4,4,1,0,0,0,1,5,64,62,23,41,0,3,0,0,0
3.55E+20,3.55E+12,89,VILA MARIA,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,1,EXTR MINERAL,1,EXTR MINERAL,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3.55E+20,3.55E+12,89,VILA MARIA,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,2,MIN NAO MET,2,IND TRANSF,3,18,15,3,14,3,1,0,0,0,0,0,0,2,3,3,3,5,1,1,0,0,0,1,3,0,5,6,3,0,0,4,8,1,2,1,1,0,0,0,0,1,0,0,6,1,6,0,5,0,0,0
3.55E+20,3.55E+12,89,VILA MARIA,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,3,IND METALURG,2,IND TRANSF,41,510,376,134,312,150,25,1,1,21,0,1,4,12,31,77,62,228,15,79,1,0,1,62,77,161,103,99,7,0,1,90,103,135,94,42,32,2,3,0,0,8,17,34,58,100,33,1,227,32,8,0
3.55E+20,3.55E+12,89,VILA MARIA,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,4,IND MECANICA,2,IND TRANSF,35,632,537,95,404,172,30,9,0,17,0,8,8,13,11,70,62,302,26,119,10,3,1,75,97,206,130,107,16,0,2,39,130,195,105,60,42,24,11,4,16,4,21,17,66,70,44,0,265,105,43,1
3.55E+20,3.55E+12,89,VILA MARIA,7,VILA MARIA-VILA GUILHERME,3,Norte,4,NORTE 1,5,ELET E COMUN,2,IND TRANSF,24,351,219,132,224,57,15,1,0,54,0,0,2,12,11,56,28,211,10,21,0,0,1,49,61,117,71,47,5,0,3,39,155,84,32,14,10,6,4,2,0,2,13,7,39,70,21,0,176,20,5,0
